dags,aldur,variable,median,upper
2020-02-28,[0 - 9],cases,0,1
2020-02-28,[10 - 19],cases,1,5
2020-02-28,[20 - 29],cases,3,8
2020-02-28,[30 - 39],cases,4,9
2020-02-28,[40 - 49],cases,6,13
2020-02-28,[50 - 59],cases,5,11
2020-02-28,[60 - 69],cases,3,8
2020-02-28,[70 - 79],cases,0,2
2020-02-28,80+,cases,0,1
2020-02-28,[0 - 9],hospital,0,0
2020-02-28,[10 - 19],hospital,0,0
2020-02-28,[20 - 29],hospital,0,1
2020-02-28,[30 - 39],hospital,0,1
2020-02-28,[40 - 49],hospital,0,2
2020-02-28,[50 - 59],hospital,0,2
2020-02-28,[60 - 69],hospital,0,2
2020-02-28,[70 - 79],hospital,0,1
2020-02-28,80+,hospital,0,0
2020-02-28,[0 - 9],serious,0,0
2020-02-28,[10 - 19],serious,0,0
2020-02-28,[20 - 29],serious,0,0
2020-02-28,[30 - 39],serious,0,0
2020-02-28,[40 - 49],serious,0,0
2020-02-28,[50 - 59],serious,0,1
2020-02-28,[60 - 69],serious,0,1
2020-02-28,[70 - 79],serious,0,1
2020-02-28,80+,serious,0,0
2020-02-29,[0 - 9],cases,0,1
2020-02-29,[10 - 19],cases,2,5
2020-02-29,[20 - 29],cases,4,9
2020-02-29,[30 - 39],cases,5,11
2020-02-29,[40 - 49],cases,7,15
2020-02-29,[50 - 59],cases,6,13
2020-02-29,[60 - 69],cases,4,9
2020-02-29,[70 - 79],cases,0,3
2020-02-29,80+,cases,0,1
2020-02-29,[0 - 9],hospital,0,0
2020-02-29,[10 - 19],hospital,0,0
2020-02-29,[20 - 29],hospital,0,1
2020-02-29,[30 - 39],hospital,0,1
2020-02-29,[40 - 49],hospital,0,2
2020-02-29,[50 - 59],hospital,0,3
2020-02-29,[60 - 69],hospital,0,3
2020-02-29,[70 - 79],hospital,0,1
2020-02-29,80+,hospital,0,0
2020-02-29,[0 - 9],serious,0,0
2020-02-29,[10 - 19],serious,0,0
2020-02-29,[20 - 29],serious,0,0
2020-02-29,[30 - 39],serious,0,0
2020-02-29,[40 - 49],serious,0,0
2020-02-29,[50 - 59],serious,0,1
2020-02-29,[60 - 69],serious,0,1
2020-02-29,[70 - 79],serious,0,1
2020-02-29,80+,serious,0,0
2020-03-01,[0 - 9],cases,0,2
2020-03-01,[10 - 19],cases,2,6
2020-03-01,[20 - 29],cases,4,10
2020-03-01,[30 - 39],cases,6,12
2020-03-01,[40 - 49],cases,8,17
